cve,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,access_authentication,access_complexity,access_vector,impact_availability,impact_confidentiality,impact_integrity
CVE-2019-16548,2019-11-21 15:15:00,2019-11-21 15:15:00,6.8,352, Cross-Site Request Forgery (CSRF),A cross-site request forgery vulnerability in Jenkins Google Compute Engine Plugin 4.1.1 and earlier in ComputeEngineCloud#doProvision could be used to provision new agents.,,,,,,
CVE-2019-16547,2019-11-21 15:15:00,2019-11-21 15:15:00,4.0,732, Incorrect Permission Assignment for Critical Resource,Missing permission checks in various API endpoints in Jenkins Google Compute Engine Plugin 4.1.1 and earlier allow attackers with Overall/Read permission to obtain limited information about the plugin configuration and environment.,,,,,,
CVE-2019-16546,2019-11-21 15:15:00,2019-11-21 15:15:00,4.3,639, Authorization Bypass Through User-Controlled Key,"Jenkins Google Compute Engine Plugin 4.1.1 and earlier does not verify SSH host keys when connecting agents created by the plugin, enabling man-in-the-middle attacks.",,,,,,
CVE-2013-2092,2019-11-20 21:22:00,2019-11-20 21:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site Scripting (XSS) in Dolibarr ERP/CRM 3.3.1 allows remote attackers to inject arbitrary web script or HTML in functions.lib.php.,,,,,,
CVE-2013-2091,2019-11-20 20:15:00,2019-11-20 20:15:00,7.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),SQL injection vulnerability in Dolibarr ERP/CRM 3.3.1 allows remote attackers to execute arbitrary SQL commands via the 'pays' parameter in fiche.php.,,,,,,
CVE-2013-1817,2019-11-20 20:15:00,2019-11-20 20:15:00,5.0,200, Information Exposure,MediaWiki before 1.19.4 and 1.20.x before 1.20.3 contains an error in the api.php script which allows remote attackers to obtain sensitive information.,,,,,,
CVE-2013-1816,2019-11-20 20:15:00,2019-11-20 20:15:00,5.0,20, Improper Input Validation,MediaWiki before 1.19.4 and 1.20.x before 1.20.3 allows remote attackers to cause a denial of service (application crash) by sending a specially crafted request.,,,,,,
CVE-2012-1257,2019-11-20 20:15:00,2019-11-20 20:15:00,2.1,319, Cleartext Transmission of Sensitive Information,"Pidgin 2.10.0 uses DBUS for certain cleartext communication, which allows local users to obtain sensitive information via a dbus session monitor.",,,,,,
CVE-2011-4455,2019-11-20 20:10:00,2019-11-20 19:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Multiple cross-site scripting vulnerabilities in Tiki 7.2 and earlier allow remote attackers to inject arbitrary web script or HTML via the path info to (1) tiki-admin_system.php, (2) tiki-pagehistory.php, (3) tiki-removepage.php, or (4) tiki-rename_page.php.",,,,,,
CVE-2011-4454,2019-11-20 20:10:00,2019-11-20 19:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Multiple cross-site scripting vulnerabilities in Tiki 8.0 RC1 and earlier allow remote attackers to inject arbitrary web script or HTML via the path info to (1) tiki-remind_password.php, (2) tiki-index.php, (3) tiki-login_scr.php, or (4) tiki-index.",,,,,,
CVE-2010-4659,2019-11-20 17:48:00,2019-11-20 17:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in statusnet through 2010 in error message contents.,,,,,,
CVE-2010-4660,2019-11-20 16:15:00,2019-11-20 16:15:00,7.5,20, Improper Input Validation,Unspecified vulnerability in statusnet through 2010 due to the way addslashes are used in SQL string escapes..,,,,,,
CVE-2013-0195,2019-11-20 15:15:00,2019-11-20 15:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site Scripting (XSS) in Piwik before 1.10.1 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors. NOTE: This is a different vulnerability than CVE-2013-0193 and CVE-2013-0194.,,,,,,
CVE-2013-0194,2019-11-20 15:15:00,2019-11-20 15:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site Scripting (XSS) in Piwik before 1.10.1 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors. NOTE: This is a different vulnerability than CVE-2013-0193 and CVE-2013-0195.,,,,,,
CVE-2013-0193,2019-11-20 15:15:00,2019-11-20 15:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site Scripting (XSS) in Piwik before 1.10.1 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors. NOTE: This is a different vulnerability than CVE-2013-0194 and CVE-2013-0195.,,,,,,
CVE-2012-6136,2019-11-20 15:15:00,2019-11-20 15:15:00,4.9,276, Incorrect Default Permissions,tuned 2.10.0 creates its PID file with insecure permissions which allows local users to kill arbitrary processes.,,,,,,
CVE-2011-1028,2019-11-20 15:15:00,2019-11-20 15:15:00,7.5,20, Improper Input Validation,The $smarty.template variable in Smarty3 allows attackers to possibly execute arbitrary PHP code via the sysplugins/smarty_internal_compile_private_special_variable.php file.,,,,,,
CVE-2019-15072,2019-11-20 05:15:00,2019-11-20 05:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"The login feature in ""/cgi-bin/portal"" in MAIL2000 through version 6.0 and 7.0 has a cross-site scripting (XSS) vulnerability, allowing execution of arbitrary code via any parameter. This vulnerability affects many mail system of governments, organizations, companies and universities.",,,,,,
